[rosmaster.main][INFO] 2020-09-14 07:37:38,286: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-09-14 07:37:38,286: Starting ROS Master Node
[xmlrpc][INFO] 2020-09-14 07:37:38,288: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2020-09-14 07:37:38,289: Master initialized: port[11311], uri[http://192.168.43.172:11311/]
[xmlrpc][INFO] 2020-09-14 07:37:38,289: Started XML-RPC server [http://192.168.43.172:11311/]
[xmlrpc][INFO] 2020-09-14 07:37:38,290: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-09-14 07:37:38,388: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,392: +PARAM [/roslaunch/uris/host_192_168_43_172__32971] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,554: +PARAM [/heima_base_node/linear_scale] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,555: +PARAM [/amcl/gui_publish_rate] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,555: +PARAM [/move_base/local_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,557: +PARAM [/imu_filter_madgwick/fixed_frame] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,557: +PARAM [/move_base/local_costmap/observation_sources] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,558: +PARAM [/amcl/recovery_alpha_slow] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,558: +PARAM [/move_base/local_costmap/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,558: +PARAM [/amcl/laser_z_short] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,559: +PARAM [/move_base/shutdown_costmaps] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,560: +SERVICE [/rosout/get_loggers] /rosout http://192.168.43.172:37521/
[rosmaster.master][INFO] 2020-09-14 07:37:38,560: +PARAM [/move_base/DWAPlannerROS/min_vel_y] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,561: +PARAM [/move_base/DWAPlannerROS/min_vel_x] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,561: +SERVICE [/rosout/set_logger_level] /rosout http://192.168.43.172:37521/
[rosmaster.master][INFO] 2020-09-14 07:37:38,562: +PARAM [/move_base/DWAPlannerROS/max_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,563: +PARAM [/move_base/local_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,564: +PARAM [/ekf_localization/odom0_differential] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,565: +PUB [/rosout_agg] /rosout http://192.168.43.172:37521/
[rosmaster.master][INFO] 2020-09-14 07:37:38,564: +PARAM [/move_base/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,567: +PARAM [/move_base/global_costmap/scan/topic] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,568: +PARAM [/move_base/DWAPlannerROS/goal_distance_bias] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,570: +PARAM [/move_base/global_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,571: +PARAM [/move_base/local_costmap/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,574: +PARAM [/amcl/laser_z_rand] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,575: +SUB [/rosout] /rosout http://192.168.43.172:37521/
[rosmaster.master][INFO] 2020-09-14 07:37:38,575: +PARAM [/move_base/planner_frequency] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,576: +PARAM [/apply_calib/calibrate_gyros] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,576: +PARAM [/imu_filter_madgwick/publish_tf] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,576: +PARAM [/move_base/DWAPlannerROS/use_dwa] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,577: +PARAM [/move_base/global_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,577: +PARAM [/amcl/base_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,577: +PARAM [/move_base/DWAPlannerROS/twirling_scale] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,577: +PARAM [/move_base/local_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,578: +PARAM [/move_base/local_costmap/resolution] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,578: +PARAM [/move_base/DWAPlannerROS/vx_samples] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,578: +PARAM [/move_base/DWAPlannerROS/xy_goal_tolerance] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,578: +PARAM [/ekf_localization/base_link_frame] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,579: +PARAM [/ekf_localization/imu0] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,579: +PARAM [/move_base/global_costmap/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,579: +PARAM [/move_base/DWAPlannerROS/vth_samples] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,579: +PARAM [/move_base/DWAPlannerROS/sim_granularity] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,579: +PARAM [/amcl/laser_lambda_short] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,580: +PARAM [/move_base/DWAPlannerROS/restore_defaults] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,580: +PARAM [/move_base/local_costmap/rolling_window] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,580: +PARAM [/move_base/DWAPlannerROS/scaling_speed] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,580: +PARAM [/move_base/controller_frequency] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,581: +PARAM [/amcl/laser_max_beams] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,581: +PARAM [/move_base/oscillation_timeout] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,581: +PARAM [/move_base/DWAPlannerROS/sim_time] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,581: +PARAM [/move_base/local_costmap/scan/clearing] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,581: +PARAM [/amcl/laser_model_type] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,582: +PARAM [/amcl/odom_model_type] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,582: +PARAM [/amcl/laser_sigma_hit] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,582: +PARAM [/amcl/recovery_alpha_fast] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,582: +PARAM [/move_base/DWAPlannerROS/yaw_goal_tolerance] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,583: +PARAM [/move_base/DWAPlannerROS/angular_sim_granularity] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,583: +PARAM [/move_base/DWAPlannerROS/acc_lim_theta] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,583: +PARAM [/apply_calib/calib_file] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,583: +PARAM [/imu_filter_madgwick/world_frame] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,583: +PARAM [/ekf_localization/two_d_mode] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,584: +PARAM [/move_base/local_costmap/width] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,584: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,584: +PARAM [/move_base/local_costmap/scan/topic] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,584: +PARAM [/move_base/oscillation_distance] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,585: +PARAM [/move_base/DWAPlannerROS/oscillation_reset_angle] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,585: +PARAM [/move_base/cost_factor] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:37:38,585: +PARAM [/amcl/odom_alpha4] by /roslaunch
