[rosmaster.main][INFO] 2020-09-01 10:45:14,697: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-09-01 10:45:14,697: Starting ROS Master Node
[xmlrpc][INFO] 2020-09-01 10:45:14,699: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2020-09-01 10:45:14,700: Master initialized: port[11311], uri[http://192.168.1.10:11311/]
[xmlrpc][INFO] 2020-09-01 10:45:14,700: Started XML-RPC server [http://192.168.1.10:11311/]
[xmlrpc][INFO] 2020-09-01 10:45:14,701: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-09-01 10:45:14,796: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-09-01 10:45:14,799: +PARAM [/roslaunch/uris/host_192_168_1_10__33741] by /roslaunch
[rosmaster.master][INFO] 2020-09-01 10:45:14,884: +PARAM [/camera/mycam/timestamp_method] by /roslaunch
[rosmaster.master][INFO] 2020-09-01 10:45:14,885: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-09-01 10:45:14,885: +PARAM [/camera/mycam/frame_rate] by /roslaunch
[rosmaster.master][INFO] 2020-09-01 10:45:14,886: +PARAM [/camera/mycam/vendor] by /roslaunch
[rosmaster.master][INFO] 2020-09-01 10:45:14,886: +PARAM [/camera/mycam/auto_white_balance] by /roslaunch
[rosmaster.master][INFO] 2020-09-01 10:45:14,886: +PARAM [/camera/mycam/camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2020-09-01 10:45:14,886: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-09-01 10:45:14,887: +PARAM [/camera/mycam/product] by /roslaunch
[rosmaster.master][INFO] 2020-09-01 10:45:14,887: +PARAM [/camera/mycam/height] by /roslaunch
[rosmaster.master][INFO] 2020-09-01 10:45:14,887: +PARAM [/camera/mycam/auto_exposure] by /roslaunch
[rosmaster.master][INFO] 2020-09-01 10:45:14,888: +PARAM [/camera/mycam/width] by /roslaunch
[rosmaster.master][INFO] 2020-09-01 10:45:14,888: +PARAM [/camera/mycam/serial] by /roslaunch
[rosmaster.master][INFO] 2020-09-01 10:45:14,888: +PARAM [/camera/mycam/index] by /roslaunch
[rosmaster.master][INFO] 2020-09-01 10:45:14,888: +PARAM [/camera/mycam/video_mode] by /roslaunch
[rosmaster.master][INFO] 2020-09-01 10:45:14,917: +SERVICE [/rosout/get_loggers] /rosout http://192.168.1.10:44183/
[rosmaster.master][INFO] 2020-09-01 10:45:14,919: +SERVICE [/rosout/set_logger_level] /rosout http://192.168.1.10:44183/
[rosmaster.master][INFO] 2020-09-01 10:45:14,922: +PUB [/rosout_agg] /rosout http://192.168.1.10:44183/
[rosmaster.master][INFO] 2020-09-01 10:45:14,928: +SUB [/rosout] /rosout http://192.168.1.10:44183/
[rosmaster.master][INFO] 2020-09-01 10:45:14,992: +PUB [/rosout] /camera/mycam http://192.168.1.10:42075/
[rosmaster.master][INFO] 2020-09-01 10:45:14,994: +SERVICE [/camera/mycam/get_loggers] /camera/mycam http://192.168.1.10:42075/
[rosmaster.master][INFO] 2020-09-01 10:45:14,995: +SERVICE [/camera/mycam/set_logger_level] /camera/mycam http://192.168.1.10:42075/
[rosmaster.master][INFO] 2020-09-01 10:45:14,998: publisherUpdate[/rosout] -> http://192.168.1.10:44183/ ['http://192.168.1.10:42075/']
[rosmaster.master][INFO] 2020-09-01 10:45:15,002: publisherUpdate[/rosout] -> http://192.168.1.10:44183/ ['http://192.168.1.10:42075/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-09-01 10:45:15,024: +SERVICE [/camera/mycam/set_parameters] /camera/mycam http://192.168.1.10:42075/
[rosmaster.master][INFO] 2020-09-01 10:45:15,025: +PUB [/camera/mycam/parameter_descriptions] /camera/mycam http://192.168.1.10:42075/
[rosmaster.master][INFO] 2020-09-01 10:45:15,027: +PUB [/camera/mycam/parameter_updates] /camera/mycam http://192.168.1.10:42075/
[rosmaster.master][INFO] 2020-09-01 10:45:15,052: +PARAM [/camera/mycam/vendor] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,053: +PARAM [/camera/mycam/product] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,054: +PARAM [/camera/mycam/serial] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,055: +PARAM [/camera/mycam/index] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,056: +PARAM [/camera/mycam/width] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,057: +PARAM [/camera/mycam/height] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,059: +PARAM [/camera/mycam/video_mode] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,060: +PARAM [/camera/mycam/frame_rate] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,061: +PARAM [/camera/mycam/timestamp_method] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,062: +PARAM [/camera/mycam/frame_id] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,063: +PARAM [/camera/mycam/camera_info_url] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,064: +PARAM [/camera/mycam/scanning_mode] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,065: +PARAM [/camera/mycam/auto_exposure] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,066: +PARAM [/camera/mycam/auto_exposure_priority] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,067: +PARAM [/camera/mycam/exposure_absolute] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,068: +PARAM [/camera/mycam/iris_absolute] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,070: +PARAM [/camera/mycam/auto_focus] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,071: +PARAM [/camera/mycam/focus_absolute] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,072: +PARAM [/camera/mycam/pan_absolute] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,073: +PARAM [/camera/mycam/tilt_absolute] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,074: +PARAM [/camera/mycam/roll_absolute] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,075: +PARAM [/camera/mycam/privacy] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,076: +PARAM [/camera/mycam/backlight_compensation] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,077: +PARAM [/camera/mycam/brightness] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,078: +PARAM [/camera/mycam/contrast] by /camera/mycam
