[rospy.client][INFO] 2020-09-15 01:10:51,528: init_node, name[/car_driver_node], pid[2351]
[xmlrpc][INFO] 2020-09-15 01:10:51,530: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2020-09-15 01:10:51,531: Started XML-RPC server [http://192.168.43.172:35699/]
[rospy.init][INFO] 2020-09-15 01:10:51,532: ROS Slave URI: [http://192.168.43.172:35699/]
[rospy.impl.masterslave][INFO] 2020-09-15 01:10:51,532: _ready: http://192.168.43.172:35699/
[rospy.registration][INFO] 2020-09-15 01:10:51,535: Registering with master node http://192.168.43.172:11311
[xmlrpc][INFO] 2020-09-15 01:10:51,536: xml rpc node: starting XML-RPC server
[rospy.init][INFO] 2020-09-15 01:10:51,633: registered with master
[rospy.rosout][INFO] 2020-09-15 01:10:51,634: initializing /rosout core topic
[rospy.rosout][INFO] 2020-09-15 01:10:51,641: connected to core topic /rosout
[rospy.simtime][INFO] 2020-09-15 01:10:51,644: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2020-09-15 01:10:51,704: topic[/cmd_vel] adding connection to [http://192.168.43.172:38425/], count 0
[rospy.internal][INFO] 2020-09-15 01:10:51,932: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2020-09-15 01:10:51,935: topic[/zxcar/get_vel] adding connection to [/heima_base_node], count 0
[rospy.internal][INFO] 2020-09-15 01:10:51,945: topic[/zxcar/imu] adding connection to [/apply_calib], count 0
[rospy.internal][INFO] 2020-09-15 01:10:51,948: topic[/zxcar/magnetic] adding connection to [/apply_calib], count 0
[rosout][INFO] 2020-09-15 01:12:41,009: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-15 01:12:41,554: cmd_vel:0.460526317358,-0.128205135465
[rosout][INFO] 2020-09-15 01:12:42,055: cmd_vel:0.460526317358,-0.128205135465
[rosout][INFO] 2020-09-15 01:12:42,550: cmd_vel:0.460526317358,-0.17948718369
[rosout][INFO] 2020-09-15 01:12:43,059: cmd_vel:0.5,-0.282051295042
[rosout][INFO] 2020-09-15 01:12:43,549: cmd_vel:0.5,-0.333333343267
[rosout][INFO] 2020-09-15 01:12:44,050: cmd_vel:0.5,-0.384615391493
[rosout][INFO] 2020-09-15 01:12:44,549: cmd_vel:0.5,-0.435897439718
[rosout][INFO] 2020-09-15 01:12:45,058: cmd_vel:0.5,-0.487179487944
[rosout][INFO] 2020-09-15 01:12:45,557: cmd_vel:0.5,-0.589743614197
[rosout][INFO] 2020-09-15 01:12:46,060: cmd_vel:0.5,-0.641025662422
[rosout][ERROR] 2020-09-15 01:12:46,124: error tail:180
[rosout][INFO] 2020-09-15 01:12:46,549: cmd_vel:0.5,-0.692307710648
[rosout][INFO] 2020-09-15 01:12:47,065: cmd_vel:0.5,-0.794871807098
[rosout][INFO] 2020-09-15 01:12:47,549: cmd_vel:0.5,-0.846153855324
[rosout][INFO] 2020-09-15 01:12:48,057: cmd_vel:0.5,-0.897435903549
[rosout][INFO] 2020-09-15 01:12:48,545: cmd_vel:0.5,-0.948717951775
[rosout][INFO] 2020-09-15 01:12:49,056: cmd_vel:0.5,-1.0
[rosout][INFO] 2020-09-15 01:12:49,547: cmd_vel:0.421052634716,-1.0
[rosout][INFO] 2020-09-15 01:12:50,057: cmd_vel:-0.25,0.743589758873
[rosout][INFO] 2020-09-15 01:12:50,560: cmd_vel:-0.25,0.794871807098
[rosout][INFO] 2020-09-15 01:12:51,058: cmd_vel:-0.25,0.743589758873
[rosout][INFO] 2020-09-15 01:12:51,552: cmd_vel:0.5,-1.0
[rosout][INFO] 2020-09-15 01:12:52,057: cmd_vel:0.5,-1.0
[rosout][INFO] 2020-09-15 01:12:52,547: cmd_vel:0.5,-0.846153855324
[rosout][INFO] 2020-09-15 01:12:53,054: cmd_vel:0.5,-0.794871807098
[rosout][INFO] 2020-09-15 01:12:53,546: cmd_vel:0.5,-0.846153855324
[rosout][INFO] 2020-09-15 01:12:54,054: cmd_vel:0.5,-0.897435903549
