[rosmaster.main][INFO] 2020-09-14 07:24:22,013: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-09-14 07:24:22,013: Starting ROS Master Node
[xmlrpc][INFO] 2020-09-14 07:24:22,015: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2020-09-14 07:24:22,016: Master initialized: port[11311], uri[http://192.168.43.172:11311/]
[xmlrpc][INFO] 2020-09-14 07:24:22,016: Started XML-RPC server [http://192.168.43.172:11311/]
[xmlrpc][INFO] 2020-09-14 07:24:22,017: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-09-14 07:24:22,104: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:24:22,108: +PARAM [/roslaunch/uris/host_192_168_43_172__33321] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:24:22,267: +PARAM [/heima_base_node/linear_scale] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:24:22,267: +PARAM [/move_base/local_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:24:22,268: +PARAM [/move_base/DWAPlannerROS/use_dwa] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:24:22,268: +PARAM [/imu_filter_madgwick/fixed_frame] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:24:22,268: +PARAM [/move_base/local_costmap/observation_sources] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:24:22,268: +PARAM [/slam_gmapping/lskip] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:24:22,269: +PARAM [/slam_gmapping/sigma] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:24:22,269: +PARAM [/move_base/local_costmap/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:24:22,269: +PARAM [/slam_gmapping/ogain] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:24:22,269: +PARAM [/move_base/shutdown_costmaps] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:24:22,271: +PARAM [/move_base/DWAPlannerROS/min_vel_y] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:24:22,271: +PARAM [/move_base/DWAPlannerROS/min_vel_x] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:24:22,271: +PARAM [/move_base/DWAPlannerROS/max_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:24:22,272: +PARAM [/slam_gmapping/lasamplerange] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:24:22,272: +PARAM [/ekf_localization/odom0_differential] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:24:22,273: +SERVICE [/rosout/get_loggers] /rosout http://192.168.43.172:35587/
[rosmaster.master][INFO] 2020-09-14 07:24:22,273: +PARAM [/move_base/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:24:22,274: +PARAM [/move_base/global_costmap/scan/topic] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:24:22,275: +PARAM [/move_base/DWAPlannerROS/goal_distance_bias] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:24:22,275: +SERVICE [/rosout/set_logger_level] /rosout http://192.168.43.172:35587/
[rosmaster.master][INFO] 2020-09-14 07:24:22,275: +PARAM [/slam_gmapping/map_update_interval] by /roslaunch
