[rosmaster.main][INFO] 2020-09-14 08:07:20,029: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-09-14 08:07:20,030: Starting ROS Master Node
[xmlrpc][INFO] 2020-09-14 08:07:20,031: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2020-09-14 08:07:20,032: Master initialized: port[11311], uri[http://192.168.43.172:11311/]
[xmlrpc][INFO] 2020-09-14 08:07:20,032: Started XML-RPC server [http://192.168.43.172:11311/]
[xmlrpc][INFO] 2020-09-14 08:07:20,033: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-09-14 08:07:20,128: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 08:07:20,132: +PARAM [/roslaunch/uris/host_192_168_43_172__33071] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 08:07:20,291: +PARAM [/heima_base_node/linear_scale] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 08:07:20,292: +PARAM [/amcl/gui_publish_rate] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 08:07:20,293: +PARAM [/move_base/local_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 08:07:20,294: +PARAM [/imu_filter_madgwick/fixed_frame] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 08:07:20,294: +PARAM [/move_base/local_costmap/observation_sources] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 08:07:20,294: +PARAM [/amcl/recovery_alpha_slow] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 08:07:20,295: +PARAM [/move_base/local_costmap/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 08:07:20,296: +SERVICE [/rosout/get_loggers] /rosout http://192.168.43.172:37245/
[rosmaster.master][INFO] 2020-09-14 08:07:20,296: +PARAM [/amcl/laser_z_short] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 08:07:20,297: +PARAM [/move_base/shutdown_costmaps] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 08:07:20,298: +SERVICE [/rosout/set_logger_level] /rosout http://192.168.43.172:37245/
[rosmaster.master][INFO] 2020-09-14 08:07:20,298: +PARAM [/move_base/DWAPlannerROS/min_vel_y] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 08:07:20,299: +PARAM [/move_base/DWAPlannerROS/min_vel_x] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 08:07:20,300: +PARAM [/move_base/DWAPlannerROS/max_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 08:07:20,300: +PARAM [/move_base/local_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 08:07:20,301: +PUB [/rosout_agg] /rosout http://192.168.43.172:37245/
[rosmaster.master][INFO] 2020-09-14 08:07:20,301: +PARAM [/ekf_localization/odom0_differential] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 08:07:20,302: +PARAM [/move_base/local_costmap/height] by /roslaunch
