[rosmaster.main][INFO] 2020-09-14 07:32:57,922: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-09-14 07:32:57,922: Starting ROS Master Node
[xmlrpc][INFO] 2020-09-14 07:32:57,926: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-09-14 07:32:57,927: Started XML-RPC server [http://192.168.43.172:11311/]
[xmlrpc][INFO] 2020-09-14 07:32:57,928: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-09-14 07:32:57,928: Master initialized: port[11311], uri[http://192.168.43.172:11311/]
[rosmaster.master][INFO] 2020-09-14 07:32:57,975: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:32:57,978: +PARAM [/roslaunch/uris/host_192_168_43_172__34353] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:32:58,179: +PARAM [/heima_base_node/linear_scale] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:32:58,180: +PARAM [/move_base/local_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:32:58,180: +PARAM [/move_base/DWAPlannerROS/use_dwa] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:32:58,183: +PARAM [/imu_filter_madgwick/fixed_frame] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:32:58,183: +PARAM [/move_base/local_costmap/observation_sources] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:32:58,183: +PARAM [/slam_gmapping/lskip] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:32:58,184: +PARAM [/slam_gmapping/sigma] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:32:58,184: +PARAM [/move_base/local_costmap/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:32:58,185: +SERVICE [/rosout/get_loggers] /rosout http://192.168.43.172:37519/
[rosmaster.master][INFO] 2020-09-14 07:32:58,186: +PARAM [/slam_gmapping/ogain] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:32:58,187: +SERVICE [/rosout/set_logger_level] /rosout http://192.168.43.172:37519/
[rosmaster.master][INFO] 2020-09-14 07:32:58,188: +PARAM [/move_base/shutdown_costmaps] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:32:58,189: +PARAM [/move_base/DWAPlannerROS/min_vel_y] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:32:58,190: +PARAM [/move_base/DWAPlannerROS/min_vel_x] by /roslaunch
