[rospy.client][INFO] 2020-09-14 12:33:43,509: init_node, name[/car_driver_node], pid[2946]
[xmlrpc][INFO] 2020-09-14 12:33:43,510: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2020-09-14 12:33:43,512: Started XML-RPC server [http://192.168.43.172:37179/]
[rospy.init][INFO] 2020-09-14 12:33:43,512: ROS Slave URI: [http://192.168.43.172:37179/]
[rospy.impl.masterslave][INFO] 2020-09-14 12:33:43,513: _ready: http://192.168.43.172:37179/
[xmlrpc][INFO] 2020-09-14 12:33:43,514: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2020-09-14 12:33:43,516: Registering with master node http://192.168.43.172:11311
[rospy.init][INFO] 2020-09-14 12:33:43,613: registered with master
[rospy.rosout][INFO] 2020-09-14 12:33:43,614: initializing /rosout core topic
[rospy.rosout][INFO] 2020-09-14 12:33:43,621: connected to core topic /rosout
[rospy.simtime][INFO] 2020-09-14 12:33:43,624: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2020-09-14 12:33:43,687: topic[/cmd_vel] adding connection to [http://192.168.43.172:34065/], count 0
[rospy.internal][INFO] 2020-09-14 12:33:43,833: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2020-09-14 12:33:43,937: topic[/zxcar/get_vel] adding connection to [/heima_base_node], count 0
[rospy.internal][INFO] 2020-09-14 12:33:43,945: topic[/zxcar/imu] adding connection to [/apply_calib], count 0
[rospy.internal][INFO] 2020-09-14 12:33:43,951: topic[/zxcar/magnetic] adding connection to [/apply_calib], count 0
[rosout][INFO] 2020-09-14 12:34:30,908: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:34:31,454: cmd_vel:-0.25,0.128205135465
[rosout][INFO] 2020-09-14 12:34:31,954: cmd_vel:-0.25,0.128205135465
[rosout][INFO] 2020-09-14 12:34:32,445: cmd_vel:-0.25,0.333333343267
[rosout][INFO] 2020-09-14 12:34:32,950: cmd_vel:-0.25,0.333333343267
[rosout][INFO] 2020-09-14 12:34:33,444: cmd_vel:-0.25,0.282051295042
[rosout][INFO] 2020-09-14 12:34:33,949: cmd_vel:-0.25,0.128205135465
[rosout][INFO] 2020-09-14 12:34:34,447: cmd_vel:-0.25,0.17948718369
[rosout][INFO] 2020-09-14 12:34:34,950: cmd_vel:-0.25,0.0769230797887
[rosout][INFO] 2020-09-14 12:34:35,444: cmd_vel:-0.25,0.0256410259753
[rosout][INFO] 2020-09-14 12:34:35,939: cmd_vel:-0.25,-0.0256410259753
[rosout][INFO] 2020-09-14 12:34:36,447: cmd_vel:-0.25,-0.17948718369
[rosout][INFO] 2020-09-14 12:34:36,953: cmd_vel:-0.25,-0.282051295042
[rosout][INFO] 2020-09-14 12:34:37,443: cmd_vel:-0.25,-0.230769231915
[rosout][INFO] 2020-09-14 12:34:37,939: cmd_vel:-0.217027127743,-0.128205135465
[rosout][INFO] 2020-09-14 12:34:38,452: cmd_vel:-0.183003216982,-0.128205135465
[rosout][INFO] 2020-09-14 12:34:38,954: cmd_vel:-0.0458593666553,0.846153855324
[rosout][INFO] 2020-09-14 12:34:39,409: cmd_vel:-0.0,0.0
[rosout][INFO] 2020-09-14 12:34:39,908: cmd_vel:-0.0,0.0
[rosout][INFO] 2020-09-14 12:34:40,408: cmd_vel:0.0,1.0
[rosout][INFO] 2020-09-14 12:34:40,908: cmd_vel:0.0,1.0
[rosout][INFO] 2020-09-14 12:34:41,409: cmd_vel:0.0,1.0
[rosout][INFO] 2020-09-14 12:34:41,908: cmd_vel:0.0,1.0
[rosout][INFO] 2020-09-14 12:34:42,408: cmd_vel:0.0,1.0
[rosout][INFO] 2020-09-14 12:34:42,908: cmd_vel:0.0,1.0
[rosout][INFO] 2020-09-14 12:34:43,408: cmd_vel:0.0,1.0
[rosout][INFO] 2020-09-14 12:34:43,953: cmd_vel:-0.0921052619815,0.128205135465
[rosout][INFO] 2020-09-14 12:34:44,408: cmd_vel:0.0,0.759429533528
[rosout][INFO] 2020-09-14 12:34:44,908: cmd_vel:0.0,0.451473590805
[rosout][INFO] 2020-09-14 12:34:45,409: cmd_vel:0.0,0.123091505233
[rosout][INFO] 2020-09-14 12:34:45,908: cmd_vel:0.0,-0.165872147778
[rosout][INFO] 2020-09-14 12:34:46,408: cmd_vel:0.0,-0.360117142243
[rosout][INFO] 2020-09-14 12:34:46,909: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:34:47,409: cmd_vel:0.0,-0.469822368705
[rosout][INFO] 2020-09-14 12:34:47,908: cmd_vel:0.0,-0.468671510137
[rosout][INFO] 2020-09-14 12:34:48,409: cmd_vel:0.0,-0.463064400238
[rosout][INFO] 2020-09-14 12:34:48,921: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:34:49,409: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:34:49,910: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:34:50,410: cmd_vel:0.0,0.0
[rosout][ERROR] 2020-09-14 12:34:50,474: error tail:45
[rosout][INFO] 2020-09-14 12:34:50,909: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:34:51,409: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:34:51,909: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:34:52,409: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:34:52,909: cmd_vel:0.0,0.0
[rosout][ERROR] 2020-09-14 12:34:52,973: error tail:250
[rosout][INFO] 2020-09-14 12:34:53,410: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:34:53,908: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:34:54,409: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:34:54,910: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:34:55,408: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:34:55,908: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:34:56,408: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:34:56,909: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:34:57,950: cmd_vel:-0.25,0.128205135465
