[rosmaster.main][INFO] 2020-09-14 12:33:41,854: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-09-14 12:33:41,854: Starting ROS Master Node
[xmlrpc][INFO] 2020-09-14 12:33:41,856: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2020-09-14 12:33:41,857: Master initialized: port[11311], uri[http://192.168.43.172:11311/]
[xmlrpc][INFO] 2020-09-14 12:33:41,857: Started XML-RPC server [http://192.168.43.172:11311/]
[xmlrpc][INFO] 2020-09-14 12:33:41,858: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-09-14 12:33:41,935: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 12:33:41,939: +PARAM [/roslaunch/uris/host_192_168_43_172__46433] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 12:33:42,101: +PARAM [/heima_base_node/linear_scale] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 12:33:42,102: +PARAM [/amcl/gui_publish_rate] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 12:33:42,103: +PARAM [/move_base/local_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 12:33:42,104: +PARAM [/move_base/global_costmap/obstacle_layer/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 12:33:42,104: +PARAM [/imu_filter_madgwick/fixed_frame] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 12:33:42,105: +PARAM [/move_base/DWAPlannerROS/vth_samples] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 12:33:42,105: +PARAM [/amcl/recovery_alpha_slow] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 12:33:42,105: +PARAM [/amcl/laser_z_short] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 12:33:42,106: +SERVICE [/rosout/get_loggers] /rosout http://192.168.43.172:41089/
[rosmaster.master][INFO] 2020-09-14 12:33:42,107: +PARAM [/move_base/DWAPlannerROS/min_vel_y] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 12:33:42,107: +PARAM [/move_base/DWAPlannerROS/min_vel_x] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 12:33:42,108: +SERVICE [/rosout/set_logger_level] /rosout http://192.168.43.172:41089/
[rosmaster.master][INFO] 2020-09-14 12:33:42,108: +PARAM [/move_base/DWAPlannerROS/max_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 12:33:42,109: +PARAM [/move_base/local_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 12:33:42,110: +PARAM [/ekf_localization/odom0_differential] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 12:33:42,111: +PARAM [/move_base/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 12:33:42,111: +PARAM [/ekf_localization/imu0_differential] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 12:33:42,112: +PUB [/rosout_agg] /rosout http://192.168.43.172:41089/
[rosmaster.master][INFO] 2020-09-14 12:33:42,112: +PARAM [/move_base/DWAPlannerROS/goal_distance_bias] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 12:33:42,113: +PARAM [/move_base/global_costmap/inflation_layer/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 12:33:42,115: +PARAM [/amcl/laser_z_rand] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 12:33:42,116: +PARAM [/move_base/planner_frequency] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 12:33:42,118: +PARAM [/move_base/DWAPlannerROS/min_vel_trans] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 12:33:42,120: +PARAM [/apply_calib/calibrate_gyros] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 12:33:42,122: +PARAM [/imu_filter_madgwick/publish_tf] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 12:33:42,122: +SUB [/rosout] /rosout http://192.168.43.172:41089/
[rosmaster.master][INFO] 2020-09-14 12:33:42,122: +PARAM [/move_base/DWAPlannerROS/use_dwa] by /roslaunch
