[rospy.client][INFO] 2020-09-15 01:05:54,864: init_node, name[/car_driver_node], pid[2131]
[xmlrpc][INFO] 2020-09-15 01:05:54,865: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2020-09-15 01:05:54,866: Started XML-RPC server [http://192.168.43.172:35569/]
[rospy.init][INFO] 2020-09-15 01:05:54,866: ROS Slave URI: [http://192.168.43.172:35569/]
[rospy.impl.masterslave][INFO] 2020-09-15 01:05:54,867: _ready: http://192.168.43.172:35569/
[xmlrpc][INFO] 2020-09-15 01:05:54,868: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2020-09-15 01:05:54,869: Registering with master node http://192.168.43.172:11311
[rospy.init][INFO] 2020-09-15 01:05:54,967: registered with master
[rospy.rosout][INFO] 2020-09-15 01:05:54,969: initializing /rosout core topic
[rospy.rosout][INFO] 2020-09-15 01:05:54,980: connected to core topic /rosout
[rospy.simtime][INFO] 2020-09-15 01:05:54,985: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2020-09-15 01:05:55,039: topic[/cmd_vel] adding connection to [http://192.168.43.172:46795/], count 0
[rospy.internal][INFO] 2020-09-15 01:05:55,185: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2020-09-15 01:05:55,293: topic[/zxcar/get_vel] adding connection to [/heima_base_node], count 0
[rospy.internal][INFO] 2020-09-15 01:05:55,300: topic[/zxcar/imu] adding connection to [/apply_calib], count 0
[rospy.internal][INFO] 2020-09-15 01:05:55,303: topic[/zxcar/magnetic] adding connection to [/apply_calib], count 0
[rospy.internal][INFO] 2020-09-15 01:07:22,853: topic[/cmd_vel] adding connection to [http://192.168.43.192:42947/], count 1
[rosout][INFO] 2020-09-15 01:07:23,286: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-15 01:07:25,487: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-15 01:07:25,698: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-15 01:07:25,904: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-15 01:07:26,121: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-15 01:07:27,234: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-15 01:07:43,834: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:07:45,475: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-15 01:07:47,576: cmd_vel:0.295245,0.0
[rosout][ERROR] 2020-09-15 01:07:47,642: error tail:103
[rosout][INFO] 2020-09-15 01:07:48,880: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-15 01:07:54,203: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:07:56,235: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-15 01:07:57,973: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-15 01:08:02,504: cmd_vel:0.0,-0.59049
[rosout][INFO] 2020-09-15 01:08:03,000: cmd_vel:0.0,-0.59049
[rosout][INFO] 2020-09-15 01:08:03,034: cmd_vel:0.0,-0.59049
[rosout][INFO] 2020-09-15 01:08:03,067: cmd_vel:0.0,-0.59049
[rosout][INFO] 2020-09-15 01:08:03,096: cmd_vel:0.0,-0.59049
[rosout][INFO] 2020-09-15 01:08:03,133: cmd_vel:0.0,-0.59049
[rosout][INFO] 2020-09-15 01:08:04,969: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-15 01:08:10,885: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:16,026: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-15 01:08:18,728: cmd_vel:0.0,-0.59049
[rosout][INFO] 2020-09-15 01:08:19,233: cmd_vel:0.0,-0.59049
[rosout][INFO] 2020-09-15 01:08:21,460: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-15 01:08:26,109: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:26,611: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:26,652: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:26,688: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:26,711: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:26,740: cmd_vel:0.295245,0.0
[rosout][ERROR] 2020-09-15 01:08:26,777: error tail:255
[rosout][INFO] 2020-09-15 01:08:26,783: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:26,832: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:26,842: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:26,866: cmd_vel:0.295245,0.0
