[rosmaster.main][INFO] 2020-09-15 01:05:53,307: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-09-15 01:05:53,308: Starting ROS Master Node
[xmlrpc][INFO] 2020-09-15 01:05:53,310: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2020-09-15 01:05:53,311: Master initialized: port[11311], uri[http://192.168.43.172:11311/]
[xmlrpc][INFO] 2020-09-15 01:05:53,311: Started XML-RPC server [http://192.168.43.172:11311/]
[xmlrpc][INFO] 2020-09-15 01:05:53,311: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-09-15 01:05:53,391: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:05:53,393: +PARAM [/roslaunch/uris/host_192_168_43_172__34913] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:05:53,561: +PARAM [/heima_base_node/linear_scale] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:05:53,562: +PARAM [/move_base/DWAPlannerROS/min_vel_theta] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:05:53,562: +PARAM [/move_base/local_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:05:53,563: +PARAM [/move_base/global_costmap/obstacle_layer/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:05:53,563: +PARAM [/imu_filter_madgwick/fixed_frame] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:05:53,563: +PARAM [/move_base/DWAPlannerROS/vth_samples] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:05:53,564: +PARAM [/slam_gmapping/lskip] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:05:53,565: +PARAM [/slam_gmapping/sigma] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:05:53,565: +SERVICE [/rosout/get_loggers] /rosout http://192.168.43.172:38733/
[rosmaster.master][INFO] 2020-09-15 01:05:53,565: +PARAM [/move_base/DWAPlannerROS/max_vel_trans] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:05:53,566: +PARAM [/slam_gmapping/ogain] by /roslaunch
[rosmaster.master][INFO] 2020-09-15 01:05:53,566: +PARAM [/move_base/DWAPlannerROS/min_vel_y] by /roslaunch
