[rosmaster.main][INFO] 2020-09-14 07:48:00,423: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-09-14 07:48:00,423: Starting ROS Master Node
[xmlrpc][INFO] 2020-09-14 07:48:00,425: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2020-09-14 07:48:00,426: Master initialized: port[11311], uri[http://192.168.43.172:11311/]
[xmlrpc][INFO] 2020-09-14 07:48:00,426: Started XML-RPC server [http://192.168.43.172:11311/]
[xmlrpc][INFO] 2020-09-14 07:48:00,427: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-09-14 07:48:00,520: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:48:00,523: +PARAM [/roslaunch/uris/host_192_168_43_172__35945] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:48:00,686: +PARAM [/heima_base_node/linear_scale] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:48:00,686: +PARAM [/move_base/local_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:48:00,687: +PARAM [/move_base/DWAPlannerROS/use_dwa] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:48:00,688: +PARAM [/imu_filter_madgwick/fixed_frame] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:48:00,688: +PARAM [/move_base/local_costmap/observation_sources] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:48:00,689: +PARAM [/slam_gmapping/lskip] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:48:00,689: +PARAM [/slam_gmapping/sigma] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:48:00,689: +PARAM [/move_base/local_costmap/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:48:00,690: +PARAM [/slam_gmapping/ogain] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:48:00,691: +SERVICE [/rosout/get_loggers] /rosout http://192.168.43.172:40003/
[rosmaster.master][INFO] 2020-09-14 07:48:00,691: +PARAM [/move_base/shutdown_costmaps] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:48:00,692: +PARAM [/move_base/DWAPlannerROS/min_vel_y] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:48:00,693: +SERVICE [/rosout/set_logger_level] /rosout http://192.168.43.172:40003/
