[rosmaster.main][INFO] 2020-09-14 07:26:35,234: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-09-14 07:26:35,234: Starting ROS Master Node
[xmlrpc][INFO] 2020-09-14 07:26:35,236: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2020-09-14 07:26:35,237: Master initialized: port[11311], uri[http://192.168.43.172:11311/]
[xmlrpc][INFO] 2020-09-14 07:26:35,237: Started XML-RPC server [http://192.168.43.172:11311/]
[xmlrpc][INFO] 2020-09-14 07:26:35,238: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-09-14 07:26:35,328: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:26:35,332: +PARAM [/roslaunch/uris/host_192_168_43_172__43935] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:26:35,492: +PARAM [/heima_base_node/linear_scale] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:26:35,493: +PARAM [/move_base/local_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:26:35,494: +PARAM [/move_base/DWAPlannerROS/use_dwa] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:26:35,495: +PARAM [/imu_filter_madgwick/fixed_frame] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:26:35,495: +PARAM [/move_base/local_costmap/observation_sources] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:26:35,496: +PARAM [/slam_gmapping/lskip] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:26:35,496: +PARAM [/slam_gmapping/sigma] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:26:35,496: +PARAM [/move_base/local_costmap/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:26:35,497: +PARAM [/slam_gmapping/ogain] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:26:35,498: +SERVICE [/rosout/get_loggers] /rosout http://192.168.43.172:41263/
[rosmaster.master][INFO] 2020-09-14 07:26:35,498: +PARAM [/move_base/shutdown_costmaps] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:26:35,499: +PARAM [/move_base/DWAPlannerROS/min_vel_y] by /roslaunch
[rosmaster.master][INFO] 2020-09-14 07:26:35,499: +SERVICE [/rosout/set_logger_level] /rosout http://192.168.43.172:41263/
