[rosmaster.main][INFO] 2020-09-04 10:39:10,429: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-09-04 10:39:10,430: Starting ROS Master Node
[xmlrpc][INFO] 2020-09-04 10:39:10,432: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2020-09-04 10:39:10,433: Master initialized: port[11311], uri[http://192.168.1.12:11311/]
[xmlrpc][INFO] 2020-09-04 10:39:10,433: Started XML-RPC server [http://192.168.1.12:11311/]
[xmlrpc][INFO] 2020-09-04 10:39:10,433: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-09-04 10:39:10,524: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,528: +PARAM [/roslaunch/uris/host_192_168_1_12__36249] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,691: +PARAM [/heima_base_node/linear_scale] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,692: +PARAM [/move_base/local_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,692: +PARAM [/move_base/DWAPlannerROS/use_dwa] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,693: +PARAM [/imu_filter_madgwick/fixed_frame] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,693: +PARAM [/move_base/local_costmap/observation_sources] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,693: +PARAM [/slam_gmapping/lskip] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,693: +PARAM [/slam_gmapping/sigma] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,693: +PARAM [/move_base/local_costmap/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,694: +PARAM [/slam_gmapping/ogain] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,694: +PARAM [/move_base/shutdown_costmaps] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,694: +PARAM [/move_base/DWAPlannerROS/min_vel_y] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,694: +PARAM [/move_base/DWAPlannerROS/min_vel_x] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,695: +PARAM [/move_base/DWAPlannerROS/max_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,695: +PARAM [/slam_gmapping/lasamplerange] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,695: +PARAM [/ekf_localization/odom0_differential] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,695: +PARAM [/move_base/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,696: +PARAM [/move_base/global_costmap/scan/topic] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,696: +PARAM [/move_base/DWAPlannerROS/goal_distance_bias] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,696: +PARAM [/slam_gmapping/map_update_interval] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,696: +PARAM [/move_base/global_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,697: +PARAM [/move_base/local_costmap/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,697: +PARAM [/move_base/planner_frequency] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,697: +PARAM [/apply_calib/calibrate_gyros] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,697: +PARAM [/imu_filter_madgwick/publish_tf] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,697: +PARAM [/move_base/DWAPlannerROS/forward_point_distance] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,698: +PARAM [/move_base/global_costmap/footprint] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,698: +PARAM [/move_base/controller_patience] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,698: +PARAM [/move_base/DWAPlannerROS/twirling_scale] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,698: +PARAM [/move_base/DWAPlannerROS/xy_goal_tolerance] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,699: +PARAM [/move_base/DWAPlannerROS/rot_stopped_vel] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,699: +PARAM [/move_base/local_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,699: +PARAM [/move_base/local_costmap/resolution] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,699: +PARAM [/move_base/DWAPlannerROS/vx_samples] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,700: +PARAM [/slam_gmapping/lsigma] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,700: +PARAM [/ekf_localization/base_link_frame] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,700: +PARAM [/ekf_localization/imu0] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,700: +PARAM [/move_base/global_costmap/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,700: +PARAM [/move_base/DWAPlannerROS/vth_samples] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,701: +PARAM [/slam_gmapping/transform_publish_period] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,701: +PARAM [/slam_gmapping/srt] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,701: +PARAM [/slam_gmapping/srr] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,701: +PARAM [/move_base/local_costmap/width] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,702: +PARAM [/move_base/DWAPlannerROS/restore_defaults] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,702: +PARAM [/move_base/local_costmap/rolling_window] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,702: +PARAM [/move_base/DWAPlannerROS/scaling_speed] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,702: +PARAM [/move_base/controller_frequency] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,703: +PARAM [/move_base/DWAPlannerROS/sim_time] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,703: +PARAM [/move_base/local_costmap/scan/clearing] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,703: +PARAM [/slam_gmapping/lasamplestep] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,703: +PARAM [/slam_gmapping/angularUpdate] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,704: +PARAM [/move_base/DWAPlannerROS/yaw_goal_tolerance] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,704: +PARAM [/move_base/DWAPlannerROS/angular_sim_granularity] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,704: +PARAM [/move_base/DWAPlannerROS/acc_lim_theta] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,704: +PARAM [/apply_calib/calib_file] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,704: +PARAM [/imu_filter_madgwick/world_frame] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,705: +PARAM [/move_base/DWAPlannerROS/sim_granularity] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,705: +PARAM [/slam_gmapping/temporalUpdate] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,705: +PARAM [/ekf_localization/two_d_mode] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,705: +PARAM [/slam_gmapping/particles] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,706: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,706: +PARAM [/move_base/local_costmap/scan/topic] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,706: +PARAM [/move_base/oscillation_distance] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,706: +PARAM [/move_base/DWAPlannerROS/oscillation_reset_angle] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,706: +PARAM [/move_base/cost_factor] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,707: +PARAM [/move_base/local_costmap/scan/data_type] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,707: +PARAM [/imu_filter_madgwick/use_magnetic_field_msg] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,707: +PARAM [/move_base/DWAPlannerROS/vy_samples] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,707: +PARAM [/move_base/DWAPlannerROS/acc_lim_trans] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,707: +PARAM [/slam_gmapping/resampleThreshold] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,708: +PARAM [/slam_gmapping/lstep] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,708: +PARAM [/move_base/DWAPlannerROS/trans_stopped_vel] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,708: +PARAM [/move_base/local_costmap/scan/marking] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,709: +PARAM [/slam_gmapping/linearUpdate] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,709: +PARAM [/ekf_localization/world_frame] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,709: +PARAM [/move_base/global_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,709: +PARAM [/move_base/global_costmap/scan/data_type] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,709: +PARAM [/rplidarNode/angle_compensate] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,710: +PARAM [/move_base/DWAPlannerROS/prune_plan] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,710: +PARAM [/move_base/local_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,710: +PARAM [/rplidarNode/serial_port] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,710: +PARAM [/move_base/global_costmap/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,711: +PARAM [/move_base/conservative_reset_dist] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,711: +PARAM [/slam_gmapping/base_frame] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,711: +PARAM [/move_base/oscillation_timeout] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,711: +PARAM [/move_base/global_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,712: +PARAM [/slam_gmapping/llsamplerange] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,712: +PARAM [/move_base/global_costmap/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,712: +PARAM [/ekf_localization/imu0_differential] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,712: +PARAM [/ekf_localization/odom0_relative] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,713: +PARAM [/slam_gmapping/astep] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,713: +PARAM [/move_base/local_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,713: +PARAM [/move_base/local_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,713: +PARAM [/move_base/DWAPlannerROS/occdist_scale] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,714: +PARAM [/rplidarNode/inverted] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,714: +PARAM [/imu_filter_madgwick/angular_scale] by /roslaunch
[rosmaster.master][INFO] 2020-09-04 10:39:10,714: +PARAM [/move_base/global_costmap/observation_sources] by /roslaunch
